title,releasedate,budget,boxOffice,runtime,movieLanguage
All Quiet on the Western Front,1930-04-21,$1.2 million,$3 million,152,English
The Big House,1930-06-24,"$414,000","$1,715,000",87,English
Disraeli,1929-11-01,"$318,000","$1,498,000",90,English
The Divorcee,1930-04-19,,,84,English
The Love Parade,1929-11-19,,,107,English
All Quiet on the Western Front,1930-04-21,$1.2 million,$3 million,152,English
Anna Christie,1930-02-21,"$376,000","$1,499,000",89,English
The Divorcee,1930-04-19,,,84,English
Hallelujah,1929-08-20,,,109,English
The Love Parade,1929-11-19,,,107,English
Romance,1930-08-22,,,76,English
Disraeli,1929-11-01,"$318,000","$1,498,000",90,English
The Green Goddess,1930-02-13,,,73,English
The Big House,1930-06-24,"$414,000","$1,715,000",87,English
The Big Pond,1930-05-03,,,78,"English,"
Bulldog Drummond,1929-05-02,,,90,English
The Rogue Song,1930-01-28,"$646,000 (final negative cost)","$1,610,000",103,English
The Divorcee,1930-04-19,,,84,English
The Devil's Holiday,1930-05-09,,,80,English
Sarah and Son,1930-03-14,,,86,English
Anna Christie,1930-02-21,"$376,000","$1,499,000",89,English
Their Own Desire,1929-12-27,,,65,English
The Trespasser,1929-11-11,,,90,English
The Big House,1930-06-24,"$414,000","$1,715,000",87,English
All Quiet on the Western Front,1930-04-21,$1.2 million,$3 million,152,English
Disraeli,1929-11-01,"$318,000","$1,498,000",90,English
The Divorcee,1930-04-19,,,84,English
Street of Chance,1930-02-08,,,76,English
The Big House,1930-06-24,"$414,000","$1,715,000",87,English
The Case of Sergeant Grischa,1930-03-23,"$467,000","$456,000",82,English
The Love Parade,1929-11-19,,,107,English
Raffles,1930-07-24,,,72,English
Song of the Flame,1930-05-06,,,70,English
King of Jazz,1930-04-19,"$2,000,000 (estimated)",,105,English
Bulldog Drummond,1929-05-02,,,90,English
The Love Parade,1929-11-19,,,107,English
Sally,1929-12-23,"$647,000","$2,198,000",103,English
The Vagabond King,1930-02-17,"$1,250,000",,104,English
With Byrd at the South Pole,1930-06-19,,,82,Sound
All Quiet on the Western Front,1930-04-21,$1.2 million,$3 million,152,English
Anna Christie,1930-02-21,"$376,000","$1,499,000",89,English
Hell's Angels,1930-05-27,$2.8 million,$2.5 million,131,English
The Love Parade,1929-11-19,,,107,English
Cimarron,1931-01-26,"$1,433,000","$1,383,000",124,English
East Lynne,1931-02-20,,,102,English
The Front Page,1931-04-04,,"$700,000",101,English
Skippy,1931-04-05,,,85,English
Trader Horn,1931-02-03,$1.3 million,$4.2 million,122,English
Skippy,1931-04-05,,,85,English
Cimarron,1931-01-26,"$1,433,000","$1,383,000",124,English
A Free Soul,1931-06-02,"$529,000",$1.4 million,91,English
The Front Page,1931-04-04,,"$700,000",101,English
Morocco,1930-11-14,"$491,299.36",,91,English
A Free Soul,1931-06-02,"$529,000",$1.4 million,91,English
Skippy,1931-04-05,,,85,English
Cimarron,1931-01-26,"$1,433,000","$1,383,000",124,English
The Royal Family of Broadway,1930-12-22,,,82,English
The Front Page,1931-04-04,,"$700,000",101,English
Min and Bill,1930-11-29,,$2 million,66,English
